Title,Production company,Distributed by,Release date,Running time,Country,Language,Box office,Directed by,Written by,Based on,Produced by,Starring,Music by,Release dates,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Production companies,Adaptation by,Layouts by,Original concept by,Original language,Born,Died,Cause of death,Resting place,Alma mater,Occupation,Years active,Board member of,,Children,Awards,Music,Lyrics,Book,Basis,Productions,Original work,Owner,First appearance,Last appearance,Years,Education,Known for,Nationality,Employer,Notable work,Website
Oliver & Company,,Buena Vista Pictures Distribution,"['November 18, 1988']",74 minutes,United States,English,>$121 million,George Scribner,,"['Oliver Twist', 'by', 'Charles Dickens']",,"['Joey Lawrence', 'Billy Joel', 'Natalie Gregory', 'Cheech Marin', 'Bette Midler', 'Robert Loggia', 'Richard Mulligan', 'Roscoe Lee Browne', 'Sheryl Lee Ralph']",J. A. C. Redford,,$31 million,"['Vance Gerry', 'Mike Gabriel', 'Joe Ranft', 'Jim Mitchell', 'Chris Bailey', 'Kirk Wise', 'Dave Michener', 'Roger Allers', 'Gary Trousdale', 'Kevin Lima', 'Michael Cedeno', 'Pete Young', 'Leon Joosen']",,,,,"['Jim Cox', 'Timothy J. Disney', 'James Mangold']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners III']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honey, I Shrunk the Kids",,Buena Vista Pictures Distribution,"['June 23, 1989']",93 minutes,United States,English,$222.7 million,Joe Johnston,,,Penney Finkelman Cox,"['Rick Moranis', 'Matt Frewer', 'Marcia Strassman', 'Kristine Sutherland']",James Horner,,$18 million,"['Stuart Gordon', 'Brian Yuzna', 'Ed Naha']",,Hiro Narita,Michael A. Stevenson,,"['Ed Naha', 'Tom Schulman']",,,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners III']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheetah,,Buena Vista Pictures,"August 18, 1989",84 minutes,United States,English,"$8,153,677 (United States)",Jeff Blyth,,"['The Cheetahs', 'by', 'Alan Caillou']","['Roy E. Disney', 'Robert Halmi, Sr.']","['Keith Coogan', 'Lucy Deakins', 'Collin Mothupi']",Bruce Rowland,,$5 million,John Cotter,,Thomas Burstyn,Eric Albertson,,"['Erik Tarloff', 'John Cotter', 'Griff Du Rhone']",,,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners III']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,,Buena Vista Pictures Distribution,"['November 17, 1989']",83 minutes,United States,English,,"['John Musker', 'Ron Clements']","['John Musker', 'Ron Clements']","['The Little Mermaid', 'by', 'Hans Christian Andersen']","['Howard Ashman', 'John Musker']","['Jodi Benson', 'Christopher Daniel Barnes', 'Pat Carroll', 'Kenneth Mars', 'Samuel E. Wright', 'Jason Marin', 'Buddy Hackett']",Alan Menken,,$40 million,,,,Mark Hester,,,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuckTales the Movie: Treasure of the Lost Lamp,,Buena Vista Pictures Distribution,"['August 3, 1990']",74 minutes,United States,English,$18.1 million,Bob Hathcock,,"['DuckTales', 'by', 'Jymn Magon']","['Bob Hathcock', 'Jean-Pierre Quenet']","['Alan Young', 'Terrence McGovern', 'Russi Taylor', 'Richard Libertini', 'Christopher Lloyd', 'June Foray', 'Chuck McCann', 'Joan Gerber', 'Rip Taylor']",David Newman,,$20 million,,,,Charles King,,Alan Burnett,,,,,,,,"['Walt Disney Pictures', 'Disney MovieToons', 'Walt Disney Animation France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rescuers Down Under,,Buena Vista Pictures Distribution,"['November 16, 1990']",77 minutes,United States,English,$47.4 million,"['Hendel Butoy', 'Mike Gabriel']",,"['Characters', 'by', 'Margery Sharp']",Thomas Schumacher,"['Bob Newhart', 'Eva Gabor', 'John Candy', 'Adam Ryen', 'George C. Scott', 'Tristan Rogers']",Bruce Broughton,,,,,,Michael Kelly,,"['Jim Cox', 'Karey Kirkpatrick', 'Byron Simpson', 'Joe Ranft']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Fang,,Buena Vista Pictures,"['January 18, 1991']",107 minutes,United States,English,$34.8 million,Randal Kleiser,,"['White Fang', 'by', 'Jack London']",Markay Powell,"['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel', 'James Remar', 'Susan Hogan']","['Basil Poledouris', 'Hans Zimmer']",,$14 million,,,Tony Pierce-Roberts,Lisa Day,,"['Jeanne Rosenberg', 'Nick Thiel', 'David Fallon']",,,,,,,,"['Walt Disney Pictures', 'Silver Screen Partners IV']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipwrecked,,Buena Vista Pictures,,93 minutes,,,$15.1 million,Nils Gaup,"['O.V. Falck-Ytter', 'Nils Gaup', 'Bob Foss', 'Greg Dinner', 'Nick Thiel']",,"['John M. Jacobsen', 'Nigel Wooll']","['Stian Smestad', 'Gabriel Byrne']",Patrick Doyle,['3 October 1990'],60 million Norwegian Kroner (around $8.7 million in 1989),,,Erling Thurmann-Andersen,Nils Pagh Andersen,"['Norwegian', 'English']",,"['Norway', 'Sweden', 'United States']",,,,,,,"['Walt Disney Pictures', 'AB Svensk Filmindustri']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Hearts Can't Be Broken,Walt Disney Pictures,Buena Vista Pictures,"['May 24, 1991']",88 minutes,United States,English,$7.3 million,Steve Miner,"['Matt Williams', 'Oley Sassone']","['A Girl and Five Brave Horses', 'by', 'Sonora Webster Carver']",Matt Williams,"['Gabrielle Anwar', 'Michael Schoeffling', 'Cliff Robertson']",Mason Daring,,,,,Daryn Okada,Jon Poll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rocketeer,,Buena Vista Pictures Distribution,"['June 21, 1991']",108 minutes,United States,English,$46.7 million (USA),Joe Johnston,,"['The Rocketeer', 'by', 'Dave Stevens']","['Charles Gordon', 'Lawrence Gordon', 'Lloyd Levin']","['Bill Campbell', 'Alan Arkin', 'Jennifer Connelly', 'Paul Sorvino', 'Timothy Dalton']",James Horner,,$35-40 million,"['Danny Bilson', 'Paul De Meo', 'William Dear']",,Hiro Narita,"['Michael A. Stevenson', 'Arthur Schmidt']",,"['Danny Bilson', 'Paul De Meo']",,,,,,,,"['Walt Disney Pictures', 'Touchstone Pictures', 'Silver Screen Partners IV', 'Gordon Company']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast,,Buena Vista Pictures Distribution,,84 minutes,United States,English,$440.1 million,"['Gary Trousdale', 'Kirk Wise']",,"['Beauty and the Beast', 'by', 'Jeanne-Marie Leprince de Beaumont']",Don Hahn,"[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti']",Alan Menken,"['September 29, 1991 ( NYFF )', 'November 13, 1991 (United States)']",$25 million,"['Brenda Chapman', 'Chris Sanders', 'Burny Mattinson', 'Kevin Harkey', 'Brian Pimental', 'Bruce Woodside', 'Joe Ranft', 'Tom Ellery', 'Kelly Asbury', 'Robert Lence']",,,John Carnochan,,Linda Woolverton,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsies,,Buena Vista Pictures Distribution,"['April 10, 1992']",121 minutes,United States,English,$2.8 million,Kenny Ortega,"['Bob Tzudiker', 'Noni White']",,Michael Finnell,"['Christian Bale', 'Bill Pullman', 'Ann-Margret', 'Robert Duvall']","['Alan Menken', 'J. A. C. Redford']",,$15 million,,,Andrew Laszlo,William H. Reynolds,,,,,,,,,,"['Walt Disney Pictures', 'Touchwood Pacific Partners I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
