Title,Production company,Distributed by,Release date,Running time,Country,Language,Box office,Directed by,Written by,Based on,Produced by,Starring,Music by,Release dates,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Production companies,Adaptation by,Layouts by,Original concept by,Original language,Born,Died,Cause of death,Resting place,Alma mater,Occupation,Years active,Board member of,,Children,Awards,Music,Lyrics,Book,Basis,Productions,Original work,Owner,First appearance,Last appearance,Years,Education,Known for,Nationality,Employer,Notable work,Website
Ghost of the Mountains,,Walt Disney Studios Motion Pictures,"['June 30, 2017 (United States)']",,United States,English,,Ben Wallis,Ben Wallis,,Brian Leith,,Barnaby Taylor,,,,Antoine Fuqua,,,,,,,,,,,,"['Disneynature', 'Brian Leith Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagga Jasoos,,UTV Motion Pictures,['14 July 2017'],162 minutes,India,Hindi,83 crore,Anurag Basu,"['Screenplay:', 'Anurag Basu', 'Dialogues in Rhyme:', 'Amitabh Bhattacharya', 'Anurag Basu', 'Devesh Kapoor', 'Samrat Chakraborty', 'Debatma Mandal', 'Dialogues:', 'Samrat Chakraborty']",,"['Siddharth Roy Kapur', 'Anurag Basu', 'Ranbir Kapoor']","['Ranbir Kapoor', 'Katrina Kaif', 'Saswata Chatterjee', 'Saurabh Shukla', 'Sayani Gupta', 'Ivan Sylvester Rodrigues']",Pritam,,['131 crore'],Anurag Basu,,Ravi Varman,Ajay Sharma,,,,,,,,,,"['Walt Disney Pictures India', 'Picture Shuru Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Knight,,Walt Disney Studios Sony Pictures Releasing,"['October 29, 2017 ( Russia )']",114 minutes,Russia,,"['$30.5 million', '₽', '1.731 billion']",Dmitriy Dyachenko,,Baba Yaga and Koschei,"['Marina Zhigalova-Ozkan', 'Eduard Iloyan', 'Grigoriy Stoyalov', 'Olga Maksimova']","['Viktor Khorinyak', 'Mila Sivatskaya', 'Konstantin Lavronenko', 'Elena Yakovleva', 'Ekaterina Vilkova', 'Sergey Burunov', 'Yevgeny Dyatlov']",George Kallis,,"['~$8 million', '₽', '370 million']",,,Sergei Trofimov,"['Tim Pavelko', 'Anton Anisimov', 'Aleksandr Amirov']",['Russian'],"['Vitaliy Shlyappo', 'Dimitriy Yan', 'Pavel Danilov', 'Igor Tudvasev']",,,,,,,,"['Walt Disney Company CIS (Russia)', 'Yellow, Black and White (Russia)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco,,"['Walt Disney Studios', 'Motion Pictures']",,105 minutes,United States,English,$807.8 million,Lee Unkrich,,,Darla K. Anderson,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renée Victor', 'Ana Ofelia Murguía', 'Edward James Olmos']",Michael Giacchino,"['October 20, 2017 ( Morelia )', 'November 22, 2017 (United States)']",$175–225 million,"['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich', 'Adrian Molina']",,"['Matt Aspbury', 'Danielle Feinberg']",Steve Bloom,,"['Adrian Molina', 'Matthew Aldrich']",,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Wrinkle in Time,,"['Walt Disney Studios', 'Motion Pictures']",,109 minutes,United States,English,$132.7 million,Ava DuVernay,,"['A Wrinkle in Time', 'by', ""Madeleine L'Engle""]","['Jim Whitaker', 'Catherine Hand']","['Oprah Winfrey', 'Reese Witherspoon', 'Mindy Kaling', 'Gugu Mbatha-Raw', 'Michael Peña', 'Zach Galifianakis', 'Chris Pine']",Ramin Djawadi,"['February 26, 2018 ( El Capitan Theatre )', 'March 9, 2018 (United States)']",$100–130 million,,,Tobias A. Schliessler,Spencer Averick,,"['Jennifer Lee', 'Jeff Stockwell']",,,,,,,,"['Walt Disney Pictures', 'Whitaker Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incredibles 2,,"['Walt Disney Studios', 'Motion Pictures']",,118 minutes,United States,English,$1.245 billion,Brad Bird,Brad Bird,,"['John Walker', 'Nicole Paradis Grindle']","['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huckleberry Milner', 'Samuel L. Jackson', 'Bob Odenkirk', 'Catherine Keener', 'Jonathan Banks']",Michael Giacchino,"['June 5, 2018 ( Los Angeles )', 'June 15, 2018 (United States)']",$200 million,,,"['Mahyar Abousaeedi', 'Erik Smitt']",Stephen Schaffer,,,,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Robin,,"['Walt Disney Studios', 'Motion Pictures']",,104 minutes,United States,English,$197.7 million,Marc Forster,,"[""Disney's Winnie the Pooh"", 'Winnie-the-Pooh books by A. A. Milne E. H. Shepard']","['Brigham Taylor', 'Kristin Burr']","['Ewan McGregor', 'Hayley Atwell', 'Jim Cummings', 'Brad Garrett']","['Geoff Zanelli', 'Jon Brion']","['July 30, 2018 ( Burbank )', 'August 3, 2018 (United States)']",$75 million,"['Greg Brooker', 'Mark Steven Johnson']",,Matthias Koenigswieser,Matt Chessé,,"['Alex Ross Perry', 'Tom McCarthy', 'Allison Schroeder']",,,,,,,,"['Walt Disney Pictures', '2DUX']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nutcracker and the Four Realms,,Walt Disney Studios Motion Pictures,,99 minutes,United States,English,$174 million,"['Lasse Hallström', 'Joe Johnston']",Ashleigh Powell,"['"" The Nutcracker and the Mouse King "" by E. T. A. Hoffmann', 'The Nutcracker by Marius Petipa']","['Mark Gordon', 'Larry Franco']","['Keira Knightley', 'Mackenzie Foy', 'Eugenio Derbez', 'Matthew Macfadyen', 'Richard E. Grant', 'Misty Copeland', 'Helen Mirren', 'Morgan Freeman']",James Newton Howard,"['October 29, 2018 ( Dolby Theatre )', 'November 2, 2018 (United States)']",$120–133 million,,,Linus Sandgren,Stuart Levy,,,,,,,,,,"['Walt Disney Pictures', 'The Mark Gordon Company']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Breaks the Internet,,Walt Disney Studios Motion Pictures,,112 minutes,United States,English,$529.3 million,"['Rich Moore', 'Phil Johnston']",,,Clark Spencer,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Jane Lynch', 'Jack McBrayer', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill"", 'Taraji P. Henson']",Henry Jackman,"['November 5, 2018 ( El Capitan Theatre )', 'November 21, 2018 (United States)']",$175 million,"['Rich Moore', 'Phil Johnston', 'Jim Reardon', 'Pamela Ribon', 'Josie Trinidad']",,"['Nathan Detroit Warner (layout)', 'Brian Leach (lighting)']",Jeremy Milton,,"['Phil Johnston', 'Pamela Ribon']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Poppins Returns,,"['Walt Disney Studios', 'Motion Pictures']",,131 minutes,United States,English,$349.5 million,Rob Marshall,,"['Mary Poppins', 'by', 'P. L. Travers']","['Rob Marshall', 'John DeLuca', 'Marc Platt']","['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer', 'Julie Walters', 'Colin Firth', 'Meryl Streep']",Marc Shaiman,"['November 29, 2018 ( Dolby Theatre )', 'December 19, 2018 (United States)']",$130 million,"['David Magee', 'Rob Marshall', 'John DeLuca']",,Dion Beebe,Wyatt Smith,,David Magee,,,,,,,,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbo,,"['Walt Disney Studios', 'Motion Pictures']",,112 minutes,United States,English,$353.3 million,Tim Burton,,"[""Disney 's Dumbo by Otto Englander Joe Grant Dick Huemer"", 'Dumbo, the Flying Elephant by Helen Aberson Harold Pearl']","['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']","['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green', 'Alan Arkin']",Danny Elfman,"['March 11, 2019 ( Los Angeles )', 'March 29, 2019 (United States)']",$170 million,,,Ben Davis,Chris Lebenzon,,Ehren Kruger,,,,,,,,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguins,,Walt Disney Studios Motion Pictures,"['April 17, 2019 (United States)']",76 minutes,United States,English,"$7.7
 million","['Alastair Fothergill', 'Jeff Wilson']",David Fowler,,"['Alastair Fothergill', 'Keith Scholey', 'Roy Conli', 'Jeff Wilson']",,Harry Gregson-Williams,,,,Ed Helms,,Andy Netley,,,,,,,,,,"['Disneynature', 'Silverback Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladdin,,"['Walt Disney Studios', 'Motion Pictures']",,128 minutes,United States,English,,Guy Ritchie,,"[""Disney 's Aladdin by Ron Clements John Musker Ted Elliott Terry Rossio"", 'Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio', 'Aladdin and the Magic Lamp which is associated with One Thousand and One Nights']","['Dan Lin', 'Jonathan Eirich']","['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari', 'Navid Negahban', 'Nasim Pedrad', 'Billy Magnussen']",Alan Menken,"['May 8, 2019 ( Grand Rex )', 'May 24, 2019 (United States)']",$183 million,,,Alan Stewart,James Herbert,,"['John August', 'Guy Ritchie']",,,,,,,,"['Walt Disney Pictures', 'Rideback']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy Story 4,,"['Walt Disney Studios', 'Motion Pictures']",,100 minutes,United States,English,$1.073 billion,Josh Cooley,,,"['Mark Nielsen', 'Jonas Rivera']","['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Jordan Peele', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack']",Randy Newman,"['June 11, 2019 ( El Capitan Theatre )', 'June 21, 2019 (United States)']",$200 million,"['John Lasseter', 'Andrew Stanton', 'Josh Cooley', 'Valerie LaPointe', 'Rashida Jones', 'Will McCormack', 'Martin Hynes', 'Stephany Folsom']",,"['Patrick Lin', 'Jean-Claude Kalache']",Axel Geddes,,"['Andrew Stanton', 'Stephany Folsom']",,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lion King,,"['Walt Disney Studios', 'Motion Pictures']",,118 minutes,United States,English,$1.663 billion,Jon Favreau,,"[""Disney 's The Lion King by Irene Mecchi Jonathan Roberts Linda Woolverton""]","['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']","['Donald Glover', 'Seth Rogen', 'Chiwetel Ejiofor', 'Alfre Woodard', 'Billy Eichner', 'John Kani', 'John Oliver', 'Beyoncé Knowles-Carter', 'James Earl Jones']",Hans Zimmer,"['July 9, 2019 ( Hollywood )', 'July 19, 2019 (United States)']",$250–260 million,,,Caleb Deschanel,"['Mark Livolsi', 'Adam Gerstel']",,Jeff Nathanson,,,,,,,,"['Walt Disney Pictures', 'Fairview Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maleficent: Mistress of Evil,,"['Walt Disney Studios', 'Motion Pictures']","['October 18, 2019']",119 minutes,United States,English,$491.7 million,Joachim Rønning,"['Linda Woolverton', 'Noah Harpster', 'Micah Fitzerman-Blue']","[""Disney's Sleeping Beauty"", 'La Belle au bois dormant by Charles Perrault']","['Joe Roth', 'Angelina Jolie', 'Duncan Henderson']","['Angelina Jolie', 'Elle Fanning', 'Chiwetel Ejiofor', 'Sam Riley', 'Ed Skrein', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville', 'Michelle Pfeiffer']",Geoff Zanelli,,$185 million,,,Henry Braham,"['Laura Jennings', 'Craig Wood']",,,,,,,,,,"['Walt Disney Pictures', 'Roth/Kirschenbaum Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady and the Tramp,,Disney+,"['November 12, 2019 (United States)']",104 minutes,United States,English,,Charlie Bean,,"[""Disney 's Lady and the Tramp by Erdman Penner Joe Rinaldi Ralph Wright Don DaGradi"", 'Erdman Penner', 'Joe Rinaldi', 'Ralph Wright', 'Don DaGradi', 'Happy Dan, the Cynical Dog by Ward Greene']",Brigham Taylor,"['Tessa Thompson', 'Justin Theroux', 'Kiersey Clemons', 'Thomas Mann', 'Janelle Monáe', 'F. Murray Abraham', 'Yvette Nicole Brown', 'Adrian Martinez', 'Ken Jeong', 'Sam Elliott']",Joseph Trapanese,,$60 million,,,Enrique Chediak,Melissa Bretherton,,"['Andrew Bujalski', 'Kari Granlund']",,,,,,,,"['Walt Disney Pictures', 'Taylor Made']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noelle,Walt Disney Pictures,Disney+,"['November 12, 2019 (United States)']",100 minutes,United States,English,,Marc Lawrence,Marc Lawrence,,Suzanne Todd,"['Anna Kendrick', 'Bill Hader', 'Kingsley Ben-Adir', 'Billy Eichner', 'Julie Hagerty', 'Shirley MacLaine']","['Cody Fitzgerald', 'Clyde Lawrence']",,,,,Russell Carpenter,Hughes Winborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen II,,"['Walt Disney Studios', 'Motion Pictures']",,103 minutes,United States,English,$1.450 billion,"['Chris Buck', 'Jennifer Lee']",,,Peter Del Vecho,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Christophe Beck (score)', 'Robert Lopez (songs)', 'Kristen Anderson-Lopez (songs)']","['November 7, 2019 ( Dolby Theatre )', 'November 22, 2019 (United States)']",$150 million,"['Jennifer Lee', 'Chris Buck', 'Marc Smith', 'Kristen Anderson-Lopez', 'Robert Lopez']",,Mohit Kallianpur,Jeff Draheim,,Jennifer Lee,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,Scott Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Walt Disney Pictures,Disney+,"['December 20, 2019 (United States)']",114 minutes,United States,English,,Ericson Core,Tom Flynn,,Kim Zubick,['Willem Dafoe'],Mark Isham,,$40 million,,,Ericson Core,Martin Pensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timmy Failure: Mistakes Were Made,,Disney+,,99 minutes,United States,English,,Tom McCarthy,,"['Timmy Failure', 'by Stephan Pastis']","['Alexander Dostal', 'Tom McCarthy', 'Jim Whitaker']","['Winslow Fegley', 'Ophelia Lovibond', 'Craig Robinson', 'Wallace Shawn']",Rolfe Kent,"['January 25, 2020 ( Sundance )', 'February 7, 2020 ( Disney+ )']",$42 million,,,Masanobu Takayanagi,Tom McArdle,,"['Tom McCarthy', 'Benjamin Pestana', 'Stephan Pastis']",,,,,,,,"['Walt Disney Pictures', 'Etalon Film', 'Slow Pony Pictures', 'Whitaker Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onward,,"['Walt Disney Studios', 'Motion Pictures']",,102 minutes,United States,English,$141.9 million,Dan Scanlon,,,Kori Rae,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']","['Mychael Danna', 'Jeff Danna']","['February 21, 2020 ( Berlinale )', 'March 6, 2020 (United States)']",$175–200 million,"['Dan Scanlon', 'Keith Bunin', 'Jason Headley']",,"['Sharon Calahan', 'Adam Habib']",Catherine Apple,,"['Dan Scanlon', 'Jason Headley', 'Keith Bunin']",,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stargirl,,Disney+,"['March 13, 2020 (United States)']",107 minutes,United States,English,,Julia Hart,,"['Stargirl', 'by', 'Jerry Spinelli']","['Kristin Hahn', 'Ellen Goldsmith-Vein', 'Lee Stollman', 'Jordan Horowitz']","['Grace VanderWaal', 'Graham Verchere']",Rob Simonsen,,,,,Bryce Fortner,"['Shayar Bansali', 'Tracey Wadmore-Smith']",,"['Kristin Hahn', 'Julia Hart', 'Jordan Horowitz']",,,,,,,,"['Walt Disney Pictures', 'Gotham Group', 'Hahnscape Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin Reef,Disneynature,"['Walt Disney Studios Motion Pictures', 'Disney+']",,78 minutes,United States,English,,"['Alastair Fothergill', 'Keith Scholey']",David Fowler,,"['Alastair Fothergill', 'Keith Scholey', 'Roy Conli']",,Steven Price,"['March 28, 2018 (France)', 'April 3, 2020 ( Disney+ )']",,,Natalie Portman,Paul Atkins,Martin Elsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,Disneynature,Disney+,"['April 3, 2020']",86 minutes,United States,English,,"['Mark Linfield', 'Vanessa Berlowitz']",,,"['Mark Linfield', 'Vanessa Berlowitz', 'Roy Conli']",,Ramin Djawadi,,,,"Meghan, Duchess of Sussex","['Martyn Colbeck', 'Mike Holding', 'Tom Walker']",Nigel Buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemis Fowl,,Disney+,"['June 12, 2020']",95 minutes,United States,English,,Kenneth Branagh,,"['Artemis Fowl', 'by', 'Eoin Colfer']","['Kenneth Branagh', 'Judy Hofflund']","['Ferdia Shaw', 'Lara McDonnell', 'Josh Gad', 'Tamara Smart', 'Nonso Anozie', 'Colin Farrell', 'Judi Dench']",Patrick Doyle,,$125 million,,,Haris Zambarloukos,Matthew Tucker,,"['Conor McPherson', 'Hamish McColl']",,,,,,,,"['Walt Disney Pictures', 'TriBeCa Productions', 'Marzano Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,,Walt Disney Studios Motion Pictures,"['July 3, 2020']",160 minutes,United States,English,,Thomas Kail,Lin-Manuel Miranda,"['Alexander Hamilton', 'by', 'Ron Chernow']","['Thomas Kail', 'Lin-Manuel Miranda', 'Jeffrey Seller']","['Daveed Diggs', 'Renée Elise Goldsberry', 'Jonathan Groff', 'Christopher Jackson', 'Jasmine Cephas Jones', 'Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Anthony Ramos', 'Phillipa Soo']",Lin-Manuel Miranda,,$12.5 million (stage production),,,Declan Quinn,Jonah Moran,,,,,,,,,,"['Walt Disney Pictures', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore Pictures', 'RadicalMedia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Is King,,Disney+,"['July 31, 2020']",85 minutes,United States,English,,"['Beyoncé', 'Co-director', 'Kwasi Fordjour', 'Directors', 'Emmanuel Adjei', 'Blitz Bazawule', 'Ibra Ake', 'Jenn Nkiru', 'Jake Nava', 'Pierre Debusschere', 'Dikayl Rimmasch', 'Dafe Oboro']","['Beyoncé', 'Yrsa Daley-Ward', 'Clover Hope', 'Andrew Morrow']","['The Lion King: The Gift', 'The Lion King']","['Jeremy Sullivan', 'Jimi Adesanya', 'Blitz Bazawule', 'Ben Cooper', 'Astrid Edwards', 'Durwin Julies', 'Yoli Mes', 'Dafe Oboro', 'Akin Omotoso', 'Will Whitney', 'Lauren Baker', 'Jason Baum', 'Alex Chamberlain', 'Robert Day', 'Christophe Faubert', 'Brien Justiniano', 'Rethabile Molatela Mothobi', 'Sylvia Zakhary', 'Nathan Scherrer', 'Erinn Williams']","['Beyoncé', 'Folajomi Akinmurele', 'Connie Chiume', 'Nyaniso Ntsikelelo Dzedze', 'Nandi Madida', 'Warren Masemola', 'Sibusiso Mbeje', 'Fumi Odede', 'Stephen Ojo', 'Mary Twala']","['James William Blades', 'MeLo-X', 'Derek Dixie']",,,,,"['Ryan Marie Helfant', 'Santiago Gonzalez', 'Muhammad Atta Ahmed', 'David Boanuh', 'Michael Fernandez', 'Erik Henriksson', 'Danny Hiele', 'Laura Merians', 'Nicolai Niermann', 'Kenechukwu Obiajulu', 'Malik Sayeed', 'Benoit Soler']","['Andrew Morrow', 'Maria-Celeste Garrahan', 'Haines Hall', 'Tom Watson']",,,,,,,,,,"['Parkwood Entertainment', 'Walt Disney Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Camp,,"['Disney+', 'Walt Disney Studios Motion Pictures']","['August 14, 2020']",100 minutes,United States,English,,Mark Waters,,,['Suzanne Todd'],"['Adam DeVine', 'Jeffrey Tambor', 'Gillian Jacobs']",Rolfe Kent,,$24 million,"['Gabe Sachs', 'Jeff Judah', 'Matt Spicer', 'Max Winkler']",,Theo van de Sande,"['Bruce Green', 'Robert Malina']",,"['Micah Fitzerman-Blue', 'Noah Harpster', 'Matt Spicer', 'Max Winkler', 'Dan Gregor', 'Doug Mand']",,,,,,,,"['Walt Disney Pictures', 'Team Todd']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One and Only Ivan,,Walt Disney Studios Motion Pictures,"['August 21, 2020 (United States)']",95 minutes,United States,English,,Thea Sharrock,,"['The One and Only Ivan', 'by', 'K. A. Applegate']","['Angelina Jolie', 'Allison Shearmur', 'Brigham Taylor']","['Sam Rockwell', 'Angelina Jolie', 'Danny DeVito', 'Helen Mirren', 'Ramón Rodríguez', 'Ariana Greenblatt', 'Bryan Cranston']",Craig Armstrong,,,,,Florian Ballhaus,Barney Pilling,,Mike White,,,,,,,,"['Walt Disney Pictures', 'Jolie Pas Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulan,,Walt Disney Studios Motion Pictures,,115 minutes,United States,English,$70 million,Niki Caro,,"[""Disney's Mulan by Robert D. San Souci Rita Hsiao Chris Sanders Philip LaZebnik Raymond Singer Eugenia Bostwick-Singer"", 'Robert D. San Souci', 'Rita Hsiao', 'Chris Sanders', 'Philip LaZebnik', 'Raymond Singer', 'Eugenia Bostwick-Singer', 'Ballad of Mulan by Guo Maoqian']","['Chris Bender', 'Jake Weiner', 'Jason T. Reed']","['Yifei Liu', 'Donnie Yen', 'Tzi Ma', 'Jason Scott Lee', 'Yoson An', 'Ron Yuan', 'Gong Li', 'Jet Li']",Harry Gregson-Williams Addl. Music: Tom Howe,"['March 9, 2020 ( Dolby Theatre )', 'September 4, 2020 (United States)']",$200 million,,,Mandy Walker,David Coulson,,"['Rick Jaffa Amanda Silver', 'Lauren Hynek', 'Elizabeth Martin']",,,,,,,,"['Walt Disney Pictures', 'Jason T. Reed Productions', 'Good Fear Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godmothered,,"['Disney+', 'Walt Disney Studios Motion Pictures']","['December 4, 2020 (United States)']",110 minutes,United States,,,Sharon Maguire,,,"['Justin Springer', 'Ivan Reitman']","['Isla Fisher', 'Jillian Bell']",Rachel Portman,,Unknown,Kari Granlund,,Christopher Norr,Gary Dollner,"['English', 'Latin']","['Kari Granlund', 'Melissa Stack']",,,,,,,,"['Walt Disney Pictures', 'Secret Machine Entertainment', 'The Montecito Picture Company']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,,Disney+,"['December 11, 2020 (United States)']",122 minutes,United States,English,,Reginald Hudlin,Nick Santora,,"['Mark Ciardi', 'Gordon Gray']","['Jay Reeves', 'Thaddeus J. Mixson', 'Corinne Foxx', 'Matthew Glave', 'James Badge Dale']",Marcus Miller,,$26 million,,,Shane Hurlbut,Terel Gibson,,,,,,,,,,"['Walt Disney Pictures', 'Mayhem Pictures', 'Select Films', 'The Walt Disney Company']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul,,"['Walt Disney Studios', 'Motion Pictures']",,101 minutes,United States,English,$121 million,Pete Docter,"['Pete Docter', 'Mike Jones', 'Kemp Powers']",,Dana Murray,"['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Richard Ayoade', 'Phylicia Rashad', 'Donnell Rawlings', 'Questlove', 'Angela Bassett']","['Trent Reznor', 'Atticus Ross', 'Jon Batiste']","['October 11, 2020 ( BFI Fest )', 'December 25, 2020 (United States)']",$150 million,,,"['Matt Aspbury', 'Ian Megibben']",Kevin Nolting,,,,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Warrior: Root of Evil,,Walt Disney Studios Motion Pictures International,"['January 1, 2021 ( Russia )']",121 minutes,Russia,Russian,"['₽ 2.046 billion', '$28.3 million (Worldwide)', '$28.6 million (Russia/ CIS )']",Dmitriy Dyachenko,"['Vitaliy Shlyappo', 'Dimitriy Yan', 'Vasiliy Kutsenko', 'Pavel Danilov', 'Igor Tudvasev']","['Russian:', 'Bogatyr', 'English:', 'Hero', 'or', 'Warrior']","['Kakhaber Abashidze', 'Eduard Iloyan', 'Anton Zlatopolskiy ( ru )', 'Vitaliy Shlyappo ( ru )', 'Denis Zhalinskiy']","['Viktor Khorinyak', 'Mila Sivatskaya', 'Ekaterina Vilkova', 'Elena Yakovleva', 'Konstantin Lavronenko', 'Sergey Burunov', 'Elena Valyushkina', 'Kirill Zaytsev', 'Timofey Tribuntsev', 'Garik Kharlamov']",George Kallis,,₽ 650 million,,,Pavel Kapinos,,,,,,,,,,,"['The Walt Disney Company CIS', 'Yellow, Black & White', 'Russia-1', 'Cinema Fund Russia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flora & Ulysses,,Disney+,"['February 19, 2021 (United States)']",95 minutes,United States,English,,Lena Khan,,"['Flora & Ulysses', 'by', 'Kate DiCamillo']",Gil Netter,"['Matilda Lawler', 'Alyson Hannigan', 'Ben Schwartz', 'Anna Deavere Smith', 'Danny Pudi', 'Benjamin Evan Ainsworth', 'Janeane Garofalo', 'Kate Micucci']",Jake Monaco,,,,,Andrew Dunn,Jamie Gross,,"['Brad Copeland', 'Kate DiCamillo']",,,,,,,,"['Walt Disney Pictures', 'Netter Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raya and the Last Dragon,,Walt Disney Studios Motion Pictures,"['March 5, 2021 (United States)']",107 minutes,United States,English,$130.4 million,"['Don Hall', 'Carlos López Estrada']",,,"['Osnat Shurer', 'Peter Del Vecho']","['Kelly Marie Tran', 'Awkwafina', 'Izaac Wang', 'Gemma Chan', 'Daniel Dae Kim', 'Benedict Wong', 'Sandra Oh', 'Thalia Tran', 'Lucille Soong', 'Alan Tudyk']",James Newton Howard,,$100 million+,"['Paul Briggs', 'Don Hall', 'Adele Lim', 'Carlos López Estrada', 'Kiel Murray', 'Qui Nguyen', 'John Ripa', 'Dean Wellins']",,,"['Fabienne Rawley', 'Shannon Stein']",,"['Qui Nguyen', 'Adele Lim']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
